Segment,Technology,Subcategory,Decarb_Sector,Project_Type,Estimated_Total_Facility_CAPEX,CD119_2024_Name,Announcement_Date,State,US Senator 1: Party,US Senator 2: Party,US Representative Party,Latitude,Longitude,Announcement_Year,Announcement_Quarter,solar_irradiance,wind_speed_2m,wind_speed_2m_max,wind_speed_50m,air_temp_2m,air_temp_2m_max,air_temp_2m_min,precipitation
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,10.403713,CA-14,2022-04-06,CA,Democratic,Democratic,Democratic,37.62309,-122.12359,2022,2,4.825109289617486,2.049262295081967,3.3424590163934425,4.446803278688525,14.869890710382514,23.31989071038251,8.711229508196721,0.671912568306011
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,3178.799175,KY-02,2021-09-27,KY,Republican,Republican,Republican,37.59489,-85.87652,2021,3,4.041010928961748,1.6890983606557377,2.7449180327868854,5.070109289617487,13.923551912568303,19.24193989071038,8.739535519125683,3.8540163934426226
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,3069.18541,TN-08,2021-09-27,TN,Republican,Republican,Republican,35.402916,-89.417312,2021,3,4.266448087431694,2.431693989071038,3.896120218579235,5.766284153005465,15.677267759562842,20.996311475409836,10.648825136612022,4.38172131147541
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,701.034138,SC-04,2023-06-27,SC,Republican,Republican,Republican,34.75419,-82.05755,2023,2,4.514371584699453,1.3068579234972677,2.2797267759562843,4.314289617486338,16.070245901639346,21.704754098360656,10.802213114754098,4.27707650273224
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,3.14976,VA-02,2018-11-21,VA,Democratic,Democratic,Republican,36.8956,-76.1914,2018,4,4.266010928961749,3.571748633879782,5.139672131147541,6.578169398907103,16.313688524590166,19.696994535519128,13.06808743169399,4.27587431693989
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,Expansion,2.503693,MI-12,2023-04-19,MI,Democratic,Democratic,Democratic,42.30776,-83.1854,2023,2,3.839262295081967,3.417295081967213,5.053579234972677,6.858469945355191,9.76136612021858,14.536174863387975,4.953770491803279,2.206857923497268
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,Expansion,42.062048,SC-03,2023-04-19,SC,Republican,Republican,Republican,34.66642,-82.98034,2023,2,4.514371584699453,0.2202732240437158,0.4725683060109291,3.713989071038252,16.112786885245903,22.047021857923497,10.759590163934426,4.865109289617487
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,82.667221,TX-13,2023-01-26,TX,Republican,Republican,Republican,35.510835,-101.033881,2023,1,5.340464480874317,3.788579234972677,5.82827868852459,7.557459016393442,15.727295081967211,23.87587431693989,8.654016393442623,0.9353005464480876
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,20.48198,MI-04,2022-08-08,MI,Democratic,Democratic,Republican,42.3358,-85.2695,2022,3,3.846229508196721,3.1851639344262295,4.866748633879782,6.816666666666667,9.298169398907104,14.427950819672132,4.190819672131147,2.5786612021857924
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,177.237128,OK-02,2021-06-17,OK,Republican,Republican,Republican,36.247299,-95.289147,2021,2,4.367622950819672,1.0212841530054646,1.5513934426229508,4.992650273224044,15.1446174863388,20.902404371584694,9.942103825136613,3.688442622950819
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,75.110801,OH-02,2023-06-16,OH,Republican,Republican,Republican,38.5698,-82.79229,2023,2,3.9309836065573776,0.1597814207650273,0.4286612021857924,3.939562841530055,13.265355191256832,19.02311475409836,7.939016393442624,3.129180327868853
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,406.258523,OH-12,2022-10-13,OH,Republican,Republican,Republican,39.719,-82.61,2022,4,3.8363934426229513,0.9811748633879782,1.552896174863388,4.696530054644808,12.242786885245904,17.801120218579236,6.9703551912568305,2.8753825136612017
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,,AZ-06,2022-09-29,AZ,Democratic,Democratic,Republican,32.76382,-111.57657,2022,3,5.960491803278688,1.9638251366120216,3.5936338797814207,4.547267759562842,23.4818306010929,31.822622950819667,15.95546448087432,0.3222131147540983
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,300.608078,SC-06,2023-03-22,SC,Republican,Republican,Democratic,33.93036,-80.93342,2023,1,4.541912568306011,2.251147540983607,3.629453551912569,5.411748633879782,18.253387978142076,23.64907103825137,13.091803278688523,3.6524043715847
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,29.205306,WA-02,2022-05-19,WA,Democratic,Democratic,Democratic,48.752,-122.48,2022,2,3.5053551912568306,0.6743169398907104,1.096530054644809,3.460382513661202,9.751584699453552,13.390792349726778,6.2351639344262315,4.717650273224044
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,1886.469041,MS-01,2024-01-18,MS,Republican,Republican,Republican,34.972044,-89.602715,2024,1,4.358770491803279,1.542896174863388,2.482021857923497,5.021338797814208,16.028333333333336,21.49325136612022,10.953907103825136,4.828497267759563
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,232.108128,NC-06,2023-11-28,NC,Republican,Republican,Republican,35.750894,-80.317958,2023,4,4.3560928961748635,1.9995081967213113,3.409726775956284,5.093825136612022,14.890846994535517,20.284426229508192,9.7224043715847,4.595464480874317
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,43.456682,AL-05,2019-09-13,AL,Republican,Republican,Republican,34.63019,-87.040454,2019,3,4.3287704918032786,1.0795901639344263,1.7248360655737704,4.559890710382514,16.096284153005463,21.619043715846995,10.964508196721312,5.317267759562841
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,15.508249,SC-05,2021-06-18,SC,Republican,Republican,Republican,34.245214,-80.637173,2021,2,4.444016393442623,2.251147540983607,3.629453551912569,5.411748633879782,18.253387978142076,23.64907103825137,13.091803278688523,3.6524043715847
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,153.61485,,2022-07-20,GA,,,,33.476472,-81.998918,2022,3,4.58396174863388,1.6623497267759562,2.64431693989071,4.999945355191257,18.384180327868854,23.955983606557385,13.172131147540984,3.6937704918032783
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,70.141885,TN-07,2023-02-27,TN,Republican,Republican,Republican,36.6205,-87.2334,2023,1,4.126612021857924,1.099945355191257,1.7334426229508195,4.70844262295082,14.49928961748634,20.05215846994535,9.287295081967214,4.124125683060109
Manufacturing,Batteries,"EAM, Cells",Clean Tech Manufacturing,Expansion,10.95199,NV-02,2022-06-22,NV,Democratic,Democratic,Republican,39.45195,-119.74152,2022,2,5.3307103825136615,1.502786885245902,2.7502732240437164,4.094180327868852,9.952349726775957,17.478633879781423,3.942568306010929,0.75775956284153
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,Expansion,10.95199,NV-02,2022-06-22,NV,Democratic,Democratic,Republican,39.45195,-119.74152,2022,2,5.3307103825136615,1.502786885245902,2.7502732240437164,4.094180327868852,9.952349726775957,17.478633879781423,3.942568306010929,0.75775956284153
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,97.289405,TN-04,2022-07-27,TN,Republican,Republican,Republican,35.5733,-86.4532,2022,3,4.212021857923497,1.4693169398907109,2.343306010928962,4.911393442622951,14.948360655737703,20.24926229508197,9.85344262295082,5.207377049180328
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,55.454626,AZ-06,2023-02-22,AZ,Democratic,Democratic,Republican,32.88992,-111.78483,2023,1,5.960491803278688,1.9638251366120216,3.5936338797814207,4.547267759562842,23.4818306010929,31.822622950819667,15.95546448087432,0.3222131147540983
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,Expansion,103.489318,UT-01,2022-06-09,UT,Republican,Republican,Republican,41.783297,-111.810064,2022,2,4.897622950819673,1.832322404371585,3.41172131147541,4.141857923497268,7.480846994535519,13.953060109289616,1.4062021857923497,1.2987704918032787
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,48.751023,NY-23,2022-10-03,NY,Democratic,Democratic,Republican,42.10844,-79.19522,2022,4,3.820491803278689,0.6163661202185792,0.9381693989071038,4.930000000000001,9.125437158469946,13.990218579234972,4.449016393442624,2.66827868852459
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,68.345904,GA-09,2020-01-22,GA,Democratic,Democratic,Republican,34.173773,-83.436142,2020,1,4.365382513661202,0.1260109289617486,0.3588524590163934,3.776229508196721,17.102759562841527,23.294289617486335,11.566857923497269,4.335928961748634
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,665.455517,GA-09,2022-11-28,GA,Democratic,Democratic,Republican,34.173773,-83.436142,2022,4,4.365382513661202,0.1260109289617486,0.3588524590163934,3.776229508196721,17.102759562841527,23.294289617486335,11.566857923497269,4.335928961748634
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,152.725294,TN-08,2023-06-27,TN,Republican,Republican,Republican,35.57343,-89.25856,2023,2,4.266448087431694,2.431693989071038,3.896120218579235,5.766284153005465,15.677267759562842,20.996311475409836,10.648825136612022,4.38172131147541
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,279.994679,KY-04,2022-03-28,KY,Republican,Republican,Republican,38.22,-85.21,2022,1,3.9901639344262296,1.8277049180327871,2.9428961748633884,5.239426229508197,13.28133879781421,18.477540983606556,8.140136612021857,3.5243715846994537
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,610.620242,SC-04,2024-02-14,SC,Republican,Republican,Republican,34.80576,-82.37927,2024,1,4.514371584699453,0.893360655737705,1.4726502732240438,4.145655737704918,14.942540983606555,20.50655737704918,9.880901639344264,4.862896174863389
Manufacturing,Batteries,"EAM, Cells",Clean Tech Manufacturing,New,146.02653,IN-07,2021-12-20,IN,Republican,Republican,Democratic,39.916858,-86.034603,2021,4,3.961612021857923,2.9386885245901637,4.541885245901639,6.371748633879783,11.475819672131149,16.751612021857923,6.294918032786885,2.7825956284153004
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,1503.040388,IN-08,2023-03-22,IN,Republican,Republican,Republican,39.465,-87.37,2023,1,4.009863387978142,2.8810655737704924,4.49275956284153,6.302377049180328,12.05486338797814,17.297103825136613,6.889398907103827,3.1803005464480867
